group,estimand,steps,estimate_pp,ci_lower_pp,ci_upper_pp
math,placebo_legacy_effect,55,-0.76,-10.45,8.64
math,did_semantic_effect,55,21.06,2.73,39.85
math,legacy_semantic_effect,55,14.09,2.27,26.06
locally_correct|locally_correct_all|math,target_effect,21,-12.70,-30.16,3.17
locally_correct|locally_correct_all|math,placebo_own_effect,21,-7.54,-20.24,3.17
locally_correct|locally_correct_all|math,placebo_legacy_effect,21,-5.16,-20.63,7.54
locally_correct|locally_correct_all|math,did_semantic_effect,21,-5.16,-29.76,18.25
locally_correct|locally_correct_all|math,legacy_semantic_effect,21,-7.54,-24.60,8.33
first_error|olympiadbench,target_effect,27,7.41,-7.41,22.22
first_error|olympiadbench,placebo_own_effect,27,-1.85,-15.43,11.42
first_error|olympiadbench,placebo_legacy_effect,27,0.62,-16.37,16.37
first_error|olympiadbench,did_semantic_effect,27,9.26,-12.04,30.86
first_error|olympiadbench,legacy_semantic_effect,27,6.79,-10.19,23.77
olympiadbench,target_effect,54,4.94,-6.17,16.05
olympiadbench,placebo_own_effect,54,-1.08,-8.64,6.48
olympiadbench,placebo_legacy_effect,54,-2.31,-13.58,8.80
olympiadbench,did_semantic_effect,54,6.02,-7.41,19.29
olympiadbench,legacy_semantic_effect,54,7.25,-3.40,17.13
locally_correct|locally_correct_all|olympiadbench,target_effect,15,4.44,-13.33,24.44
locally_correct|locally_correct_all|olympiadbench,placebo_own_effect,15,-6.67,-17.78,4.44
locally_correct|locally_correct_all|olympiadbench,placebo_legacy_effect,15,-13.33,-28.89,0.00
locally_correct|locally_correct_all|olympiadbench,did_semantic_effect,15,11.11,-4.44,28.89
locally_correct|locally_correct_all|olympiadbench,legacy_semantic_effect,15,17.78,4.44,33.33
locally_correct_pre_error|locally_correct_all|olympiadbench,target_effect,12,-0.00,-30.56,27.78
locally_correct_pre_error|locally_correct_all|olympiadbench,placebo_own_effect,12,7.64,0.00,15.28
locally_correct_pre_error|locally_correct_all|olympiadbench,placebo_legacy_effect,12,4.86,-25.00,31.94
locally_correct_pre_error|locally_correct_all|olympiadbench,did_semantic_effect,12,-7.64,-38.89,20.16
locally_correct_pre_error|locally_correct_all|olympiadbench,legacy_semantic_effect,12,-4.86,-22.22,11.81
locally_correct_pre_error,target_effect,34,-0.00,-16.67,16.67
locally_correct_pre_error,placebo_own_effect,34,12.25,3.19,22.55
locally_correct_pre_error,placebo_legacy_effect,34,0.49,-13.24,14.71
locally_correct_pre_error,did_semantic_effect,34,-12.25,-31.62,7.11
locally_correct_pre_error,legacy_semantic_effect,34,-0.49,-12.75,12.50
first_error|omnimath,target_effect,27,11.11,0.00,23.46
first_error|omnimath,placebo_own_effect,27,-4.01,-16.05,7.10
first_error|omnimath,placebo_legacy_effect,27,3.09,-11.73,16.67
first_error|omnimath,did_semantic_effect,27,15.12,3.70,26.85
first_error|omnimath,legacy_semantic_effect,27,8.02,-2.47,19.75
omnimath,target_effect,53,5.66,-5.03,15.72
omnimath,placebo_own_effect,53,6.29,-2.20,15.25
omnimath,placebo_legacy_effect,53,8.02,-2.20,18.40
omnimath,did_semantic_effect,53,-0.63,-13.99,11.32
omnimath,legacy_semantic_effect,53,-2.36,-12.26,6.92
locally_correct|locally_correct_all|omnimath,target_effect,12,-0.00,-22.29,25.00
locally_correct|locally_correct_all|omnimath,placebo_own_effect,12,12.50,-1.39,27.78
locally_correct|locally_correct_all|omnimath,placebo_legacy_effect,12,15.28,-8.33,38.89
locally_correct|locally_correct_all|omnimath,did_semantic_effect,12,-12.50,-45.83,22.22
locally_correct|locally_correct_all|omnimath,legacy_semantic_effect,12,-15.28,-41.67,11.11
locally_correct_pre_error|locally_correct_all|omnimath,target_effect,14,-0.00,-23.81,21.43
locally_correct_pre_error|locally_correct_all|omnimath,placebo_own_effect,14,20.83,4.17,40.48
locally_correct_pre_error|locally_correct_all|omnimath,placebo_legacy_effect,14,11.31,-3.57,28.57
locally_correct_pre_error|locally_correct_all|omnimath,did_semantic_effect,14,-20.83,-48.81,0.00
locally_correct_pre_error|locally_correct_all|omnimath,legacy_semantic_effect,14,-11.31,-30.95,4.17
