split,regime,policy,budget_pp,cal_coverage,cal_net_lcb_pp,test_steps_deleted,test_net_per_deletion_pp,test_harmed_share_obs,test_harmed_share_null_floor,test_harmed_share_excess,test_harmed_share_severe,test_severe_null_floor,test_severe_excess
1,balanced_cohort,harmful_first,5,0.997,4.43,278,6.29,0.158,0.130,0.028,0.101,0.045,0.056
1,balanced_cohort,intersection_first,1,0.997,4.43,278,6.38,0.155,0.129,0.025,0.101,0.044,0.056
1,balanced_cohort,intersection_first,3,0.997,4.43,278,6.38,0.155,0.129,0.025,0.101,0.044,0.056
1,balanced_cohort,intersection_first,5,0.997,4.43,278,6.38,0.155,0.129,0.025,0.101,0.044,0.056
1,balanced_cohort,prm:llama31_8b_prm_deepseek,1,0.997,4.43,278,6.29,0.158,0.130,0.028,0.101,0.045,0.056
1,balanced_cohort,prm:llama31_8b_prm_deepseek,3,0.997,4.43,278,6.29,0.158,0.130,0.028,0.101,0.045,0.056
1,balanced_cohort,prm:llama31_8b_prm_deepseek,5,0.997,4.43,278,6.29,0.158,0.130,0.028,0.101,0.045,0.056
1,balanced_cohort,prm:math_shepherd_mistral_7b,1,0.997,4.43,278,6.47,0.155,0.129,0.026,0.097,0.044,0.053
1,balanced_cohort,prm:math_shepherd_mistral_7b,3,0.997,4.43,278,6.47,0.155,0.129,0.026,0.097,0.044,0.053
1,balanced_cohort,prm:math_shepherd_mistral_7b,5,0.997,4.43,278,6.47,0.155,0.129,0.026,0.097,0.044,0.053
1,balanced_cohort,prm:qwen25_math_prm_7b,1,0.997,4.43,278,6.29,0.158,0.130,0.028,0.101,0.045,0.056
1,balanced_cohort,prm:qwen25_math_prm_7b,3,0.997,4.43,278,6.29,0.158,0.130,0.028,0.101,0.045,0.056
1,balanced_cohort,prm:qwen25_math_prm_7b,5,0.997,4.43,278,6.29,0.158,0.130,0.028,0.101,0.045,0.056
1,balanced_cohort,predictor_D,1,0.997,4.43,278,6.47,0.155,0.129,0.026,0.097,0.044,0.053
1,balanced_cohort,predictor_D,3,0.997,4.43,278,6.47,0.155,0.129,0.026,0.097,0.044,0.053
1,balanced_cohort,predictor_D,5,0.997,4.43,278,6.47,0.155,0.129,0.026,0.097,0.044,0.053
1,balanced_cohort,predictor_E,1,0.997,4.43,278,6.65,0.155,0.129,0.026,0.097,0.044,0.053
1,balanced_cohort,predictor_E,3,0.997,4.43,278,6.65,0.155,0.129,0.026,0.097,0.044,0.053
1,balanced_cohort,predictor_E,5,0.997,4.43,278,6.65,0.155,0.129,0.026,0.097,0.044,0.053
1,natural_prevalence,random,1,0.125,-0.13,35,-3.42,0.173,0.130,0.042,0.173,0.052,0.121
1,natural_prevalence,random,3,0.125,-0.13,35,-3.42,0.173,0.130,0.042,0.173,0.052,0.121
1,natural_prevalence,random,5,0.997,-4.66,278,-1.34,0.198,0.129,0.069,0.136,0.043,0.093
1,natural_prevalence,rating_first,1,0.436,3.60,122,3.41,0.172,0.134,0.038,0.135,0.045,0.090
1,natural_prevalence,rating_first,3,0.685,-2.09,191,0.78,0.090,0.075,0.015,0.062,0.022,0.039
1,natural_prevalence,rating_first,5,0.997,-4.66,278,-1.12,0.190,0.127,0.063,0.137,0.042,0.094
1,natural_prevalence,harmful_first,1,0.405,0.28,113,-4.78,0.399,0.246,0.154,0.299,0.087,0.212
1,natural_prevalence,harmful_first,3,0.405,0.28,113,-4.78,0.399,0.246,0.154,0.299,0.087,0.212
1,natural_prevalence,harmful_first,5,0.997,-4.63,278,-1.36,0.198,0.129,0.070,0.136,0.043,0.093
1,natural_prevalence,intersection_first,1,0.436,3.60,122,3.41,0.172,0.134,0.038,0.135,0.045,0.090
1,natural_prevalence,intersection_first,3,0.685,-2.09,191,0.78,0.090,0.075,0.015,0.062,0.022,0.039
1,natural_prevalence,intersection_first,5,0.997,-4.66,278,-1.12,0.190,0.127,0.063,0.137,0.042,0.094
1,natural_prevalence,prm:llama31_8b_prm_deepseek,1,0.000,,0,,,,,,,
1,natural_prevalence,prm:llama31_8b_prm_deepseek,3,0.000,,0,,,,,,,
1,natural_prevalence,prm:llama31_8b_prm_deepseek,5,0.997,-4.66,278,-1.37,0.200,0.130,0.070,0.137,0.043,0.094
1,natural_prevalence,prm:math_shepherd_mistral_7b,1,0.280,3.05,78,8.02,0.015,0.076,0.000,0.010,0.028,0.000
1,natural_prevalence,prm:math_shepherd_mistral_7b,3,0.343,-1.25,96,4.75,0.107,0.102,0.005,0.011,0.033,0.000
1,natural_prevalence,prm:math_shepherd_mistral_7b,5,0.997,-4.66,278,-0.88,0.190,0.127,0.064,0.127,0.042,0.085
1,natural_prevalence,prm:qwen25_math_prm_7b,1,0.405,3.69,113,-8.69,0.242,0.138,0.104,0.163,0.049,0.114
1,natural_prevalence,prm:qwen25_math_prm_7b,3,0.498,-1.75,139,1.51,0.196,0.152,0.044,0.148,0.056,0.092
1,natural_prevalence,prm:qwen25_math_prm_7b,5,0.997,-4.66,278,-1.37,0.200,0.130,0.070,0.137,0.043,0.094
1,natural_prevalence,predictor_D,1,0.125,-0.96,35,15.71,0.171,0.159,0.012,0.086,0.058,0.028
1,natural_prevalence,predictor_D,3,0.125,-0.96,35,15.71,0.171,0.159,0.012,0.086,0.058,0.028
1,natural_prevalence,predictor_D,5,0.997,-4.63,278,-0.88,0.190,0.126,0.064,0.127,0.042,0.086
1,natural_prevalence,predictor_E,1,0.592,0.31,165,8.14,0.184,0.171,0.013,0.121,0.058,0.063
1,natural_prevalence,predictor_E,3,0.841,-2.94,235,4.49,0.183,0.144,0.039,0.100,0.047,0.053
1,natural_prevalence,predictor_E,5,0.997,-4.63,278,-0.38,0.190,0.126,0.064,0.127,0.042,0.086
2,balanced_cohort,random,1,1.000,5.15,290,5.34,0.141,0.118,0.024,0.100,0.039,0.061
