policy,policy_label,n_steps,coverage,net_accuracy_change_pp,avg_selected_effect_pp,run_danger_rate,danger_rate_among_correct,run_benefit_rate,step_danger_rate
harmful_only,Harmful-only (human-calibrated),550,0.9167,7.0833,7.7273,0.0859,0.1556,0.1632,0.1509
harmful_only,Harmful-only (human-calibrated),560,0.9333,7.2917,7.8125,0.0862,0.1558,0.1643,0.1518
harmful_only,Harmful-only (human-calibrated),570,0.9500,7.0833,7.4561,0.0868,0.1557,0.1614,0.1526
harmful_only,Harmful-only (human-calibrated),580,0.9667,7.1667,7.4138,0.0862,0.1546,0.1603,0.1517
harmful_only,Harmful-only (human-calibrated),590,0.9833,7.2500,7.3729,0.0860,0.1537,0.1597,0.1525
harmful_only,Harmful-only (human-calibrated),600,1.0000,7.2083,7.2083,0.0850,0.1508,0.1571,0.1517
neg1_x_harmful,Rating = -1 x Harmful,10,0.0167,0.3750,22.5000,0.0250,0.0769,0.2500,0.1000
neg1_x_harmful,Rating = -1 x Harmful,20,0.0333,0.6250,18.7500,0.0625,0.1852,0.2500,0.1000
neg1_x_harmful,Rating = -1 x Harmful,30,0.0500,0.7917,15.8333,0.0417,0.0980,0.2000,0.0667
neg1_x_harmful,Rating = -1 x Harmful,40,0.0667,1.0000,15.0000,0.0312,0.0725,0.1812,0.0500
neg1_x_harmful,Rating = -1 x Harmful,50,0.0833,1.1667,14.0000,0.0550,0.1294,0.1950,0.1200
neg1_x_harmful,Rating = -1 x Harmful,60,0.1000,1.1667,11.6667,0.0625,0.1546,0.1792,0.1167
neg1_x_harmful,Rating = -1 x Harmful,70,0.1167,2.2500,19.2857,0.0536,0.1546,0.2464,0.1000
neg1_x_harmful,Rating = -1 x Harmful,80,0.1333,2.6667,20.0000,0.0469,0.1456,0.2469,0.0875
neg1_x_harmful,Rating = -1 x Harmful,90,0.1500,2.8750,19.1667,0.0417,0.1402,0.2333,0.0778
neg1_x_harmful,Rating = -1 x Harmful,100,0.1667,2.9167,17.5000,0.0425,0.1429,0.2175,0.0800
neg1_x_harmful,Rating = -1 x Harmful,110,0.1833,3.1667,17.2727,0.0409,0.1395,0.2136,0.0818
neg1_x_harmful,Rating = -1 x Harmful,120,0.2000,3.9167,19.5833,0.0375,0.1314,0.2333,0.0750
neg1_x_harmful,Rating = -1 x Harmful,130,0.2167,3.9167,18.0769,0.0404,0.1346,0.2212,0.0923
neg1_x_harmful,Rating = -1 x Harmful,140,0.2333,4.2917,18.3929,0.0464,0.1576,0.2304,0.1000
neg1_x_harmful,Rating = -1 x Harmful,150,0.2500,4.9167,19.6667,0.0500,0.1685,0.2467,0.1000
neg1_x_harmful,Rating = -1 x Harmful,160,0.2667,5.5833,20.9375,0.0500,0.1739,0.2594,0.1000
neg1_x_harmful,Rating = -1 x Harmful,170,0.2833,6.2500,22.0588,0.0471,0.1608,0.2676,0.0941
neg1_x_harmful,Rating = -1 x Harmful,180,0.3000,6.7917,22.6389,0.0486,0.1651,0.2750,0.1000
neg1_x_harmful,Rating = -1 x Harmful,190,0.3167,7.0833,22.3684,0.0474,0.1586,0.2711,0.1000
neg1_x_harmful,Rating = -1 x Harmful,200,0.3333,7.2917,21.8750,0.0450,0.1481,0.2637,0.0950
neg1_x_harmful,Rating = -1 x Harmful,210,0.3500,7.4167,21.1905,0.0440,0.1381,0.2560,0.0952
neg1_x_harmful,Rating = -1 x Harmful,220,0.3667,7.9167,21.5909,0.0420,0.1303,0.2580,0.0909
neg1_x_harmful,Rating = -1 x Harmful,230,0.3833,7.7917,20.3261,0.0457,0.1321,0.2489,0.0957
neg1_x_harmful,Rating = -1 x Harmful,240,0.4000,8.0000,20.0000,0.0500,0.1455,0.2500,0.1042
neg1_x_harmful,Rating = -1 x Harmful,250,0.4167,7.8750,18.9000,0.0540,0.1488,0.2430,0.1080
neg1_x_harmful,Rating = -1 x Harmful,260,0.4333,7.9167,18.2692,0.0519,0.1357,0.2346,0.1038
neg1_x_harmful,Rating = -1 x Harmful,270,0.4500,7.8750,17.5000,0.0528,0.1310,0.2278,0.1037
neg1_x_harmful,Rating = -1 x Harmful,280,0.4667,7.9167,16.9643,0.0554,0.1342,0.2250,0.1107
neg1_x_harmful,Rating = -1 x Harmful,290,0.4833,7.7917,16.1207,0.0595,0.1411,0.2207,0.1138
neg1_x_harmful,Rating = -1 x Harmful,300,0.5000,7.7083,15.4167,0.0617,0.1434,0.2158,0.1167
neg1_x_harmful,Rating = -1 x Harmful,310,0.5167,7.8333,15.1613,0.0597,0.1358,0.2113,0.1129
neg1_x_harmful,Rating = -1 x Harmful,320,0.5333,8.5000,15.9375,0.0578,0.1301,0.2172,0.1094
neg1_x_harmful,Rating = -1 x Harmful,330,0.5500,8.5833,15.6061,0.0606,0.1356,0.2167,0.1182
neg1_x_harmful,Rating = -1 x Harmful,340,0.5667,8.3750,14.7794,0.0632,0.1392,0.2110,0.1235
neg1_x_harmful,Rating = -1 x Harmful,350,0.5833,8.1250,13.9286,0.0671,0.1451,0.2064,0.1257
neg1_x_harmful,Rating = -1 x Harmful,360,0.6000,7.8333,13.0556,0.0743,0.1588,0.2049,0.1333
neg1_x_harmful,Rating = -1 x Harmful,370,0.6167,7.7083,12.5000,0.0777,0.1643,0.2027,0.1378
neg1_x_harmful,Rating = -1 x Harmful,380,0.6333,8.0417,12.6974,0.0757,0.1582,0.2026,0.1342
neg1_x_harmful,Rating = -1 x Harmful,390,0.6500,8.1250,12.5000,0.0756,0.1573,0.2006,0.1333
neg1_x_harmful,Rating = -1 x Harmful,400,0.6667,7.8750,11.8125,0.0794,0.1637,0.1975,0.1375
neg1_x_harmful,Rating = -1 x Harmful,410,0.6833,7.7083,11.2805,0.0823,0.1696,0.1951,0.1390
neg1_x_harmful,Rating = -1 x Harmful,420,0.7000,7.7917,11.1310,0.0810,0.1643,0.1923,0.1381
neg1_x_harmful,Rating = -1 x Harmful,430,0.7167,7.7917,10.8721,0.0814,0.1663,0.1901,0.1419
neg1_x_harmful,Rating = -1 x Harmful,440,0.7333,7.7917,10.6250,0.0813,0.1640,0.1875,0.1432
neg1_x_harmful,Rating = -1 x Harmful,450,0.7500,7.4167,9.8889,0.0850,0.1694,0.1839,0.1467
neg1_x_harmful,Rating = -1 x Harmful,460,0.7667,7.0000,9.1304,0.0891,0.1741,0.1804,0.1500
neg1_x_harmful,Rating = -1 x Harmful,470,0.7833,7.2083,9.2021,0.0888,0.1732,0.1809,0.1511
neg1_x_harmful,Rating = -1 x Harmful,480,0.8000,7.2917,9.1146,0.0870,0.1687,0.1781,0.1479
neg1_x_harmful,Rating = -1 x Harmful,490,0.8167,7.2500,8.8776,0.0862,0.1647,0.1750,0.1490
neg1_x_harmful,Rating = -1 x Harmful,500,0.8333,7.3333,8.8000,0.0865,0.1640,0.1745,0.1500
