step_id,group,c0_control_rate,c1_target_rate,c2_placebo_rate,c2_placebo_runs,c3_paraphrase_rate,c3_paraphrase_runs,c1_vs_c2_target_specific,c3_vs_c0_surface_form,c1_vs_c3_semantic_removal,c1_vs_c0_raw
prm-b51dfeb3b8305067,neutral_comparison,0.0,0.0,0.25,4,1.0,4,-0.25,1.0,-1.0,0.0
prm-b7f05eda927bf837,neutral_comparison,0.25,0.0,0.25,4,0.0,4,-0.25,-0.25,0.0,-0.25
prm-b8a1339e40d14487,neutral_comparison,0.0,0.75,0.75,4,0.0,3,0.0,0.0,0.75,0.75
prm-bd5151d40527ffa0,neutral_comparison,0.0,0.0,0.75,4,0.5,4,-0.75,0.5,-0.5,0.0
prm-bd9c89c30ff0439e,neutral_comparison,0.75,1.0,0.5,4,0.25,4,0.5,-0.5,0.75,0.25
prm-bdb3ede8ec7d1902,neutral_comparison,0.0,1.0,1.0,4,0.5,4,0.0,0.5,0.5,1.0
prm-c1d4d174440821f2,neutral_comparison,0.5,0.0,0.0,3,0.0,4,0.0,-0.5,0.0,-0.5
prm-c1da18d5eb32eafe,neutral_comparison,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-c5d0b2ae9f6de94a,neutral_comparison,0.5,0.0,0.25,4,0.5,4,-0.25,0.0,-0.5,-0.5
prm-c7fdd3c01ea7968c,neutral_comparison,0.5,1.0,0.75,4,1.0,4,0.25,0.5,0.0,0.5
prm-ca096eb77c3d707b,neutral_comparison,0.0,0.75,0.0,4,0.5,4,0.75,0.5,0.25,0.75
prm-ca8fbd8bc5e76268,neutral_comparison,0.0,0.0,0.0,4,,,0.0,,,0.0
prm-cfef1e0669eb8eee,neutral_comparison,0.0,0.75,0.75,4,0.0,4,0.0,0.0,0.75,0.75
prm-d14414ada709f204,neutral_comparison,0.0,0.75,0.5,4,0.0,4,0.25,0.0,0.75,0.75
prm-d43403303ce7ca47,neutral_comparison,0.0,0.0,0.25,4,0.0,4,-0.25,0.0,0.0,0.0
prm-d987eb66b5f962dd,neutral_comparison,0.0,0.75,0.0,4,0.0,4,0.75,0.0,0.75,0.75
prm-de925ec448909016,neutral_comparison,0.0,0.25,0.75,4,1.0,4,-0.5,1.0,-0.75,0.25
prm-e4f8aa072f5528f6,neutral_comparison,0.0,1.0,1.0,4,0.75,4,0.0,0.75,0.25,1.0
prm-e5b42c42ddfdfe89,neutral_comparison,0.25,1.0,0.25,4,0.0,4,0.75,-0.25,1.0,0.75
prm-ea9c90dcf0197292,neutral_comparison,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-f20b3a116ae0c86a,neutral_comparison,0.5,0.5,0.75,4,1.0,4,-0.25,0.5,-0.5,0.0
prm-f43ad1cb6c3aa6ba,neutral_comparison,0.0,0.0,0.0,3,0.0,4,0.0,0.0,0.0,0.0
prm-f5ad90a250e816d4,neutral_comparison,0.5,0.0,0.75,4,0.0,4,-0.75,-0.5,0.0,-0.5
prm-f77af5e177e450d9,neutral_comparison,0.5,1.0,0.5,4,1.0,4,0.5,0.5,0.0,0.5
prm-f902409b4b69ac6a,neutral_comparison,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-fde519a4d71d112d,neutral_comparison,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-feab03f43e4af912,neutral_comparison,0.75,0.0,0.25,4,1.0,4,-0.25,0.25,-1.0,-0.75
prm-059a20c710a38a1d,stable_correct,1.0,1.0,0.6666666666666666,3,1.0,4,0.33333333333333337,0.0,0.0,0.0
prm-0638bc02d0338441,stable_correct,1.0,1.0,0.75,4,1.0,4,0.25,0.0,0.0,0.0
prm-151724cd1bbe2b32,stable_correct,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-16428e60085cafa9,stable_correct,1.0,1.0,0.25,4,1.0,4,0.75,0.0,0.0,0.0
prm-1fa85012955acc38,stable_correct,1.0,1.0,0.25,4,1.0,4,0.75,0.0,0.0,0.0
prm-22008191f0fcf07c,stable_correct,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-24d79d07da1abeb8,stable_correct,1.0,1.0,0.5,4,1.0,4,0.5,0.0,0.0,0.0
prm-295680b6ca231154,stable_correct,1.0,1.0,0.75,4,1.0,4,0.25,0.0,0.0,0.0
prm-2d520973414e1dcb,stable_correct,1.0,0.5,1.0,4,,,-0.5,,,-0.5
prm-30611e95e1fdab2f,stable_correct,1.0,1.0,0.5,4,1.0,4,0.5,0.0,0.0,0.0
prm-317d37656fcc5ddd,stable_correct,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-31f315049adee361,stable_correct,1.0,1.0,0.5,4,1.0,4,0.5,0.0,0.0,0.0
prm-335e21a88e0969e0,stable_correct,1.0,0.0,0.75,4,1.0,4,-0.75,0.0,-1.0,-1.0
prm-3490f4298028248f,stable_correct,1.0,1.0,0.25,4,1.0,4,0.75,0.0,0.0,0.0
prm-36e206fe8afae4f8,stable_correct,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-3d7ee20871a31c85,stable_correct,1.0,0.25,0.5,4,,,-0.25,,,-0.75
prm-4397a2362fedc5a3,stable_correct,1.0,1.0,0.75,4,1.0,4,0.25,0.0,0.0,0.0
prm-49db7302a176b729,stable_correct,1.0,0.5,1.0,4,1.0,4,-0.5,0.0,-0.5,-0.5
prm-4dbc982a4c31d7d8,stable_correct,1.0,1.0,0.25,4,,,0.75,,,0.0
prm-4dece02217f93500,stable_correct,1.0,0.25,0.75,4,0.0,4,-0.5,-1.0,0.25,-0.75
prm-4f8665f0a19739c3,stable_correct,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-52cd0d7cc6b4cdfc,stable_correct,1.0,1.0,0.5,4,1.0,4,0.5,0.0,0.0,0.0
prm-55383ac51f763ea4,stable_correct,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-554fe1d6b58f094f,stable_correct,1.0,1.0,0.5,4,1.0,4,0.5,0.0,0.0,0.0
prm-5bd12286ca047ec0,stable_correct,1.0,1.0,1.0,4,,,0.0,,,0.0
prm-5c51e282ba7208e7,stable_correct,1.0,1.0,0.75,4,1.0,4,0.25,0.0,0.0,0.0
prm-656a46c9640db820,stable_correct,1.0,0.25,0.75,4,0.0,4,-0.5,-1.0,0.25,-0.75
prm-694eda0133adae37,stable_correct,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-6a11cd36a6d48aac,stable_correct,1.0,0.25,1.0,4,1.0,4,-0.75,0.0,-0.75,-0.75
prm-6a6a0bdb19ba41d4,stable_correct,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-6a8171dd86016c13,stable_correct,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-6b443c0ab9016cf3,stable_correct,1.0,1.0,1.0,3,1.0,4,0.0,0.0,0.0,0.0
prm-6d0334ee1141425e,stable_correct,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-6ee8687119787677,stable_correct,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-734c17ddd0cff62a,stable_correct,1.0,1.0,0.5,4,1.0,4,0.5,0.0,0.0,0.0
prm-7449b3260474567e,stable_correct,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-77a86cb6e4dfd1aa,stable_correct,1.0,0.75,1.0,4,1.0,4,-0.25,0.0,-0.25,-0.25
prm-7b9dea52f656c0bc,stable_correct,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-7df4ff373ff4bd62,stable_correct,1.0,0.0,1.0,4,1.0,4,-1.0,0.0,-1.0,-1.0
prm-87593f72c0253cec,stable_correct,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-8acbcd62bf310d16,stable_correct,1.0,1.0,0.75,4,1.0,4,0.25,0.0,0.0,0.0
prm-8fb8c12bb402ec2d,stable_correct,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-91db4cb8cb67916a,stable_correct,1.0,0.75,0.75,4,1.0,4,0.0,0.0,-0.25,-0.25
prm-92cd9c4d155c7994,stable_correct,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-92e6c6de9151c528,stable_correct,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-932de7bca0e7c93d,stable_correct,1.0,0.75,0.25,4,1.0,4,0.5,0.0,-0.25,-0.25
prm-9b09489564767b9d,stable_correct,1.0,1.0,0.0,4,0.5,4,1.0,-0.5,0.5,0.0
prm-9cdea0642dfb0680,stable_correct,1.0,1.0,0.5,4,1.0,4,0.5,0.0,0.0,0.0
prm-9e945c5a20713eba,stable_correct,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-9f8de872e85deb1c,stable_correct,1.0,1.0,0.25,4,1.0,4,0.75,0.0,0.0,0.0
prm-a0bf5d5817e64ebf,stable_correct,1.0,1.0,0.75,4,1.0,4,0.25,0.0,0.0,0.0
prm-a33bd2bed39c0904,stable_correct,1.0,1.0,0.5,4,1.0,4,0.5,0.0,0.0,0.0
prm-a3a05daf8f16a52f,stable_correct,1.0,0.0,0.25,4,1.0,4,-0.25,0.0,-1.0,-1.0
prm-a4aa6a22f3134565,stable_correct,1.0,1.0,0.25,4,1.0,4,0.75,0.0,0.0,0.0
prm-a774fd18d4116fb7,stable_correct,1.0,1.0,0.5,4,1.0,4,0.5,0.0,0.0,0.0
prm-a8a8bda6701d4be2,stable_correct,1.0,0.75,0.0,1,1.0,4,0.75,0.0,-0.25,-0.25
prm-ac1c971aefdf8aad,stable_correct,1.0,0.5,0.6666666666666666,3,1.0,4,-0.16666666666666663,0.0,-0.5,-0.5
prm-afb60f3ac0dd9a0b,stable_correct,1.0,1.0,1.0,4,0.0,4,0.0,-1.0,1.0,0.0
prm-b141684d5ef466c9,stable_correct,1.0,1.0,1.0,4,,,0.0,,,0.0
prm-b2a4ce5f01127d75,stable_correct,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-b4b221e907450223,stable_correct,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-b5f8d24593f1e708,stable_correct,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-bbc52970464fbf13,stable_correct,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-bda20d3dc84e4528,stable_correct,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-bfc1c5c3c815660c,stable_correct,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-c95bf35f36e49166,stable_correct,1.0,1.0,0.25,4,1.0,4,0.75,0.0,0.0,0.0
prm-c9fe17645948c6da,stable_correct,1.0,1.0,0.5,4,1.0,4,0.5,0.0,0.0,0.0
prm-d3fcbd13ec57a842,stable_correct,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-d4926e70a53c8c17,stable_correct,1.0,1.0,0.0,4,0.0,4,1.0,-1.0,1.0,0.0
prm-db5fb9c45b89211e,stable_correct,1.0,0.0,0.0,4,1.0,4,0.0,0.0,-1.0,-1.0
prm-dbc12362d53ec14f,stable_correct,1.0,1.0,0.0,4,1.0,4,1.0,0.0,0.0,0.0
